target	design	reference	n	partial_r	ci_low	ci_high	p	primary	q
GEP18	target_gene_disjoint_PC1	IFN_protein	108	0.5113871372494588	0.324564674822203	0.637311926998633	1.8140243951652684e-08	True	7.256097580661073e-08
GEP18	target_gene_disjoint_PC1	IFN_protein_adjusted_CD3_CD45	83	0.5137759974063226	0.28937862752239374	0.6569647230226265	1.0932554223083588e-06	True	4.373021689233435e-06
Korea30	other_PC1	CD3_IHC	83	0.173691495033823	-0.04090297708232736	0.38060820460283334	0.11862175611546588	True	0.4869287572646208
Korea30	other_PC1	CD45_protein	108	0.2329935171037262	0.017116595545569435	0.45152617138147233	0.015729439787583246	True	0.04194517276688866
Korea30	other_PC1	IFN_protein	108	-0.4446200817816257	-0.5869153712769882	-0.18854610137968128	1.6040094084535076e-06	True	4.277358422542687e-06
Korea30	other_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.3156193374689355	-0.5069175504458516	0.011735984964798293	0.004346746401330288	True	0.011591323736880767
Korea30	target_gene_disjoint_PC1	CD3_IHC	83	0.22432849980080857	0.007113851233525124	0.40763208534164774	0.04275490149165044	True	0.3420392119332035
Korea30	target_gene_disjoint_PC1	CD45_protein	108	0.25330147721977814	0.0512689693107459	0.44708622685680044	0.008476549917278054	True	0.022604133112741478
Korea30	target_gene_disjoint_PC1	IFN_protein	108	-0.20931066198956078	-0.3897916535237461	0.04976895688442947	0.030485576866262895	True	0.041738021617991734
Korea30	target_gene_disjoint_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.08557403171213125	-0.3210510324108046	0.21096765119537333	0.45040670488363965	True	0.5147505198670167
Dysf238	other_PC1	CD3_IHC	83	0.005415260310596034	-0.2198466390026757	0.25384369056458767	0.9614892729681758	True	0.9614892729681758
Dysf238	other_PC1	CD45_protein	108	-0.007087411821595663	-0.1659499661256158	0.21905932161653377	0.9422417548592684	True	0.9422417548592684
Dysf238	other_PC1	IFN_protein	108	0.15493355681378232	-0.05317897449935577	0.3896166820001225	0.11105723739206029	True	0.14807631652274705
Dysf238	other_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.025243887837343288	-0.23600954184066245	0.2663121752701792	0.8241036869594195	True	0.9418327850964794
Dysf238	target_gene_disjoint_PC1	CD3_IHC	83	0.049774991595625706	-0.17516631431432736	0.28485054080729844	0.6569792777256899	True	0.9804779135388019
Dysf238	target_gene_disjoint_PC1	CD45_protein	108	0.10208786773248257	-0.07385904278385483	0.31443652514248754	0.29540482405030566	True	0.3376055132003493
Dysf238	target_gene_disjoint_PC1	IFN_protein	108	0.22379667587360422	-0.018066460674676644	0.43758225840508147	0.020489902171237445	True	0.04097980434247489
Dysf238	target_gene_disjoint_PC1	IFN_protein_adjusted_CD3_CD45	83	0.11916888011121031	-0.14522878612844642	0.387798664311857	0.29240477050371066	True	0.3898730273382809
Shared84	other_PC1	CD3_IHC	83	-0.11075776346187755	-0.3078092686020903	0.14319660135177242	0.321876616098253	False	
Shared84	other_PC1	CD45_protein	108	0.02659175045958697	-0.19396483817260413	0.2656822991072813	0.7857108457782624	False	
Shared84	other_PC1	IFN_protein	108	0.012626218700499077	-0.1899857888702305	0.24027322705378099	0.8972961568770821	False	
Shared84	other_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.10969239029260774	-0.28793606428506174	0.14194720692704996	0.33274277798708246	False	
Shared84	target_gene_disjoint_PC1	CD3_IHC	83	-0.05163871476134646	-0.2642788850575883	0.19736696302891404	0.6449870495807247	False	
Shared84	target_gene_disjoint_PC1	CD45_protein	108	0.10445735007805138	-0.130515177560293	0.33406571596152496	0.28427896367919825	False	
Shared84	target_gene_disjoint_PC1	IFN_protein	108	0.05618198808422484	-0.15892137939937004	0.29891964573802937	0.5654405290218938	False	
Shared84	target_gene_disjoint_PC1	IFN_protein_adjusted_CD3_CD45	83	-0.06905593706147933	-0.24786141094279063	0.19090878627265684	0.5427489165034842	False	
